base_word,pos_kr,pos_tag,level,homonym
계란,명사,Noun,2,False
계산,명사,Noun,2,False
고개,명사,Noun,2,False
고등학교,명사,Noun,2,False
고등학생,명사,Noun,2,False
고모,명사,Noun,2,False
고민,명사,Noun,2,False
고속버스,명사,Noun,2,False
고장,명사,Noun,2,False
고추장,명사,Noun,2,False
고치다,동사,Verb,2,False
곧,부사,Adverb,2,False
공,명사,Noun,2,False
공무원,명사,Noun,2,False
공장,명사,Noun,2,False
공짜,명사,Noun,2,False
공휴일,명사,Noun,2,False
과거,명사,Noun,2,False
과자,명사,Noun,2,False
관계,명사,Noun,2,False
관광,명사,Noun,2,False
관광객,명사,Noun,2,False
관광지,명사,Noun,2,False
관심,명사,Noun,2,False
광고,명사,Noun,2,False
광주,명사,Noun,2,False
교과서,명사,Noun,2,False
교사,명사,Noun,2,False
교수,명사,Noun,2,False
교육,명사,Noun,2,False
교통비,명사,Noun,2,False
교통사고,명사,Noun,2,False
교환,명사,Noun,2,False
교회,명사,Noun,2,False
구름,명사,Noun,2,False
국,명사,Noun,2,False
국내,명사,Noun,2,False
국수,명사,Noun,2,False
국제,명사,Noun,2,False
군인,명사,Noun,2,False
굵다,형용사,Adjective,2,False
굽다,동사,Verb,2,False
궁금하다,형용사,Adjective,2,False
귀걸이,명사,Noun,2,False
귀여워하다,동사,Verb,2,False
귀엽다,형용사,Adjective,2,False
귀찮다,형용사,Adjective,2,False
규칙,명사,Noun,2,False
그거,대명사,Noun,2,False
그곳,대명사,Noun,2,False
그날,명사,Noun,2,False
그냥,부사,Adverb,2,False
그대로,부사,Adverb,2,False
그동안,명사,Noun,2,False
그때,명사,Noun,2,False
